Split,Model,Accuracy,F1 Score,Kappa Score,ROC AUC,Execution Time (seconds)
70-30,SVM,0.9276365277568828,0.9622904808943663,0.09581490365947543,0.9355307813057787,1.9018407000694424
70-30,DT,1.0,1.0,1.0,1.0,1.9449808998033404
70-30,KNN,0.9993079584775086,0.9996515996122152,0.9489909155843879,0.9853576481768553,20.10090469988063
70-30,XGBoost,1.0,1.0,1.0,1.0,2.7265435999725014
70-30,Hybrid DT-SVM,1.0,1.0,1.0,1.0,8.821014000102878
70-30,Hybrid KNN-SVM,0.9993079584775086,0.9996515996122152,0.9489909155843879,0.9853576481768553,17.999921599868685
60-40,SVM,0.9334619637578138,0.965425453948487,0.10801812306591496,0.9286584013710222,2.3464046998415142
60-40,DT,0.9999774332588631,0.9999886404943656,0.9983051388432761,0.9983193277310924,1.4950873001944274
60-40,KNN,0.9990634802428181,0.9995284439217558,0.9325396789732444,0.9872989165676834,51.06235529994592
60-40,XGBoost,0.9999774332588631,0.9999886404943656,0.9983051388432761,0.9999911891236939,1.5452697000000626
60-40,Hybrid DT-SVM,0.9999774332588631,0.9999886404943656,0.9983051388432761,0.9983193277310924,18.505047700135037
60-40,Hybrid KNN-SVM,0.9990634802428181,0.9995284439217558,0.9325396789732444,0.9872989165676834,36.33679820015095
50-50,SVM,0.944639020779549,0.9713992585165668,0.12923573592844406,0.8987451084835405,4.552281700074673
50-50,DT,0.9999819465256089,0.9999909123129073,0.9986450173092917,0.9986559139784946,3.499117099912837
50-50,KNN,0.9989167915365312,0.9994546198245694,0.9212282557682836,0.9770119308246789,35.96317710005678
50-50,XGBoost,0.9999909732628044,0.999995456135807,0.999322961181588,0.9999950347064857,0.5046588000841439
50-50,Hybrid DT-SVM,0.9999819465256089,0.9999909123129073,0.9986450173092917,0.9986559139784946,8.905533999903128
50-50,Hybrid KNN-SVM,0.9989167915365312,0.9994546198245694,0.9212282557682836,0.9770119308246789,36.07897079992108
30-70,SVM,0.929823656468616,0.9634637591642721,0.10367665896753775,0.9330295213049975,1.5908663000445813
30-70,DT,0.9999871046777782,0.999993508811788,0.9990319703562915,0.9990393852065322,0.734227699926123
30-70,KNN,0.9982526838389374,0.999119989868518,0.8780881712267491,0.9762119261124138,17.915984599851072
30-70,XGBoost,0.9999871046777782,0.999993508811788,0.9990319703562915,0.9999944098097918,0.40026190015487373
30-70,Hybrid DT-SVM,0.9999871046777782,0.999993508811788,0.9990319703562915,0.9990393852065322,3.4452160999644548
30-70,Hybrid KNN-SVM,0.9982526838389374,0.999119989868518,0.8780881712267491,0.9762119261124138,8.845251200022176
