Split,Model,Accuracy,F1 Score,Kappa Score,Execution Time,ROC AUC
30-70,DT,0.999613140333344,0.9996167628284748,0.9990007283157903,5.49970006942749,0.9323967410363239
50-50,DT,0.9995215829286346,0.9996028795232729,0.9987647225425244,15.76143765449524,0.9638281084741832
60-40,DT,0.9995486651772617,0.9996427568638369,0.9988345654195544,19.562973022460938,0.9597733941097938
70-30,DT,0.9994433579058222,0.9995519362307923,0.9985631159373923,13.317317247390747,0.968990183120575
30-70,Hybrid DT-SVM,0.9996002450111222,0.9996160841481281,0.9989674531740402,13.859786033630371,0.9493260568508691
50-50,Hybrid DT-SVM,0.9995847700890036,0.9996581020021975,0.9989277428227966,17.94316267967224,0.9729599821912763
60-40,Hybrid DT-SVM,0.9995599485478303,0.9996529545678501,0.9988637259313313,35.80819344520569,0.9758307368227792
70-30,Hybrid DT-SVM,0.9994584022867459,0.9995602027001298,0.9986018701551954,49.35601305961609,0.9767426890605421
30-70,Hybrid KNN-SVM,0.9970147329056385,0.9972060357074664,0.9922967278977965,61.07270550727844,0.9401645614982402
50-50,Hybrid KNN-SVM,0.9974183531620661,0.9977477161914875,0.9933430952592345,128.7409884929657,0.9284765661244483
60-40,Hybrid KNN-SVM,0.9975627919572134,0.9978682037066047,0.9937153387962745,168.967045545578,0.9235785746415163
70-30,Hybrid KNN-SVM,0.9975327215285091,0.9978519950134409,0.9936405327080313,231.47237396240234,0.9907036098257078
30-70,KNN,0.9966536638834262,0.9969253429317878,0.9913711137691951,4.347116470336914,0.9422374937140958
50-50,KNN,0.996994096513874,0.9974254497846676,0.9922550529819665,13.101886510848999,0.949596773555265
60-40,KNN,0.997280707693002,0.9976628249465956,0.9929913783605002,16.34054946899414,0.9508857925705859
70-30,KNN,0.9972920114337295,0.9976718429104963,0.9930228390133251,11.258973121643066,0.9775254796740701
30-70,SVM,0.8844450175698765,0.927088503723799,0.7491917441446081,20.73019766807556,0.9522575887499433
50-50,SVM,0.8775974436280262,0.9233420818808485,0.7371058630576528,72.16595220565796,0.9544625986703892
60-40,SVM,0.8853722383950534,0.9279553199860249,0.7507041867204989,88.01872205734253,0.9538250146047337
70-30,SVM,0.8812697457499624,0.9255078418717895,0.7436140852948947,91.79922127723694,0.9525092402632808
30-70,XGBoost,0.9997420935555628,0.9997672524710445,0.9993338630215753,18.094544172286987,0.9999208072882837
50-50,XGBoost,0.9996208770377859,0.9997053521209085,0.9990211232345948,27.7354097366333,0.9999613444293048
60-40,XGBoost,0.9996727822535147,0.9997547756878542,0.9991550903944061,38.28924822807312,0.9999612780871432
70-30,XGBoost,0.9995336241913645,0.9996734048178494,0.9987961256436232,45.00878834724426,0.9999614802298801
